"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
"Autodesk Carbon Insights for Revit 2023";"23.1.80.30";"Autodesk";"06/03/2026";"2";"Registre";"main"
"Autodesk Carbon Insights for Revit 2026";"26.4.0.32";"Autodesk";"23/03/2026";"1,7";"Registre";"main"
"Autodesk CER";"7.2.4.927";"Autodesk Inc.";"23/03/2026";"51,8";"Registre";"main"
"Autodesk Collaboration";"(dossier)";"-";"-";"0";"Dossier";"main"
"Autodesk Genuine Service";"7.6.0.229";"Autodesk";"06/03/2026";"329,1";"Registre";"composant"
"Autodesk Interoperability Engine Manager";"1.3.2.2";"Autodesk, Inc.";"06/03/2026";"25,7";"Registre";"main"
"Autodesk Material Library 2023";"21.0.1.1";"Autodesk";"06/03/2026";"212,7";"Registre";"update"
"Autodesk Material Library Base Resolution Image Library 2023";"21.0.1.1";"Autodesk";"06/03/2026";"71,5";"Registre";"update"
"Autodesk Material Library Low Resolution Image Library 2023";"21.0.1.1";"Autodesk";"06/03/2026";"245,2";"Registre";"update"
"Autodesk Material Library Medium Resolution Image Library 2023";"21.0.1.1";"Autodesk";"06/03/2026";"715,8";"Registre";"update"
"Autodesk Revit 2026";"26.4.0.32";"Autodesk, Inc.";"23/03/2026";"15621,1";"Registre";"doublon"
"Autodesk Revit Add-Ins Manager 2026";"26.0.4.409";"Autodesk";"23/03/2026";"2,9";"Registre";"main"
"Autodesk Revit Product Feedback 2026";"26.4.0.32";"Autodesk";"23/03/2026";"2,6";"Registre";"main"
"Autodesk Revit Unit Schemas 2023";"23.1.80.30";"Autodesk, Inc.";"06/03/2026";"117,1";"Registre";"main"
"Autodesk Serial Number Activation Support Component";"1.0.0.32";"Autodesk, Inc.";"23/03/2026";"30,9";"Registre";"main"
"Autodesk Single Sign On Component";"14.1.3.1803";"Autodesk";"06/03/2026";"225,3";"Registre";"composant"
"Autodesk Steel Connections Core Content for Revit 2026";"26.0.4.409";"Autodesk";"23/03/2026";"36,2";"Registre";"main"
"Automation Software Updater";"02.04.0000";"Siemens AG";"20/03/2026";"9";"Registre";"main"
"Batch Print for Autodesk Revit 2026";"26.0.4.409";"Autodesk";"23/03/2026";"3,3";"Registre";"main"
"Caneco BOX Module 2.1";"2.01.0007";"ALPI";"09/03/2026";"119,2";"Registre";"main"
"Caneco BT 2025 Application files";"5.15.0.42";"I.G.E. SAS";"09/03/2026";"831,4";"Registre";"main"
"Caneco BT 2025 Country pack FR";"5.15.0.12";"I.G.E. SAS";"09/03/2026";"6135,6";"Registre";"main"
"Caneco Dessin 4.4";"4.4.5010";"I.G.E. SA";"09/03/2026";"10,4";"Registre";"main"
"Caneco HT 2025";"3.5.0.4";"I.G.E. SAS";"09/03/2026";"392,5";"Registre";"main"
"Carbon Insights for Revit 2023";"23.1.80.30";"Autodesk, Inc.";"06/03/2026";"2";"Registre";"doublon"
"CodeMeter Runtime Kit v7.21a";"7.21.4611.501";"WIBU-SYSTEMS AG";"06/03/2026";"77,3";"Registre";"main"
"CODESYS 3.5.17.30";"(dossier)";"-";"-";"0";"Dossier";"main"
"CODESYS 64 3.5.17.30";"3.5.17.300";"CODESYS GmbH";"06/03/2026";"2535,8";"Registre";"main"
"CODESYS Installer";"1.2.0.682";"CODESYS GmbH";"06/03/2026";"42,9";"Registre";"main"
"CXM DTM";"1.00.0003";"Schneider Electric";"06/03/2026";"6,6";"Registre";"main"
"DIAL Communication Framework";"3.0.397.0";"DIAL GmbH";"-";"0";"Registre";"main"
"DIAL Data Dispatcher";"2.0.24.0";"DIAL GmbH";"-";"0";"Registre";"main"
"DIAL GmbH";"(dossier)";"-";"-";"0";"Dossier";"main"
"DIALux evo (x64)";"5.13.2.5";"DIAL GmbH";"-";"0";"Registre";"main"
"DisplayDriverAnalyzer";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"dotnet";"(dossier)";"-";"-";"0";"Dossier";"main"
"DrawingsX 21.11  (x64)";"21.11.0";"Open Design Alliance";"06/03/2026";"77,7";"Registre";"main"
"EcoStruxure Power Design - Ecodial FR V5.00";"5.00";"Schneider Electric";"09/03/2026";"263,7";"Registre";"main"
"Enregistrement Autodesk sur le Web et au format mobile";"3.1.8";"Autodesk";"23/03/2026";"33,7";"Registre";"main"
"EPANET 2.0 Fr";;;"-";"0";"Registre";"main"
"Epanet2_Fr";"(dossier)";"-";"-";"0";"Dossier";"main"
"eTransmit for Autodesk Revit 2026";"26.0.4.409";"Autodesk";"23/03/2026";"4,3";"Registre";"main"
"Ets3PlugIn";"(dossier)";"-";"-";"0";"Dossier";"main"
"FOG Service";"0.13.0";"FOG";"12/03/2026";"5";"Registre";"main"
"FormIt Converter for Revit 2026";"26.4.0.32";"Autodesk";"23/03/2026";"11,1";"Registre";"main"
"FTZ Schem 14";"14.02.200221";"FTZ";"-";"0";"Registre";"main"
"GanttProject";"3.3.3316";"BarD Software s.r.o.";"-";"185,5";"Registre";"main"
"GDR 5223 pour SQL Server 2014 (Ko4505217)";"12.2.5223.6";"Microsoft Corporation";"23/03/2026";"0";"Registre";"main"
"Generative Design For Revit";"26.5.6.0";"Autodesk";"23/03/2026";"356,9";"Registre";"main"
"Genuine Autodesk Service";"(dossier)";"-";"-";"0";"Dossier";"main"
"Google Chrome";"145.0.7632.162";"Google LLC";"10/03/2026";"136,3";"Registre";"main"
"GPLGS";"(dossier)";"-";"-";"0";"Dossier";"main"
"Identity Services";"(dossier)";"-";"-";"0";"Dossier";"main"
"Internet Explorer";"(dossier)";"-";"-";"0";"Dossier";"main"
"KNX ETS5 Compatibility Components V5.5.0";"5.5.0.0";"KNX Association cvba";"10/03/2026";"9,2";"Registre";"main"
"KNX ETS5 v5.0.5";"5.0.1217.9763";"KNX Association cvba";"09/03/2026";"170,8";"Registre";"main"
"KNX ETS5 v5.7.7";"5.7.1428.39779";"KNX Association cvba";"10/03/2026";"469,1";"Registre";"main"
"LegrandPDFWriter";;;"-";"0";"Registre";"main"
"Logs";"(dossier)";"-";"-";"0";"Dossier";"main"
"M580 Master DTM";"2.9.3";"Schneider Electric";"06/03/2026";"103,9";"Registre";"main"
"MATLAB R2025b";"25.2";"MathWorks";"-";"0";"Registre";"main"
"Microsoft .NET 7.0.10 - Windows Server Hosting";"7.0.10.23364";"Microsoft Corporation";"-";"138,1";"Registre";"composant"
"Microsoft .NET Core Host - 3.1.10 (x64)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"0,4";"Registre";"composant"
"Microsoft .NET Core Host - 3.1.10 (x86)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"0,3";"Registre";"composant"
"Microsoft .NET Core Host FX Resolver - 3.1.10 (x64)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"0,6";"Registre";"composant"
"Microsoft .NET Core Host FX Resolver - 3.1.10 (x86)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"0,4";"Registre";"composant"
"Microsoft .NET Core Runtime - 3.1.10 (x64)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"65,5";"Registre";"composant"
"Microsoft .NET Core Runtime - 3.1.10 (x86)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"58,3";"Registre";"composant"
"Microsoft .NET Host - 7.0.10 (x64)";"56.43.64668";"Microsoft Corporation";"06/03/2026";"0,2";"Registre";"composant"
"Microsoft .NET Host - 7.0.10 (x86)";"56.43.64668";"Microsoft Corporation";"06/03/2026";"0,5";"Registre";"composant"
"Microsoft .NET Host - 8.0.25 (x64)";"64.100.48707";"Microsoft Corporation";"11/03/2026";"0,5";"Registre";"composant"
"Microsoft .NET Host FX Resolver - 7.0.10 (x64)";"56.43.64668";"Microsoft Corporation";"06/03/2026";"0,4";"Registre";"composant"
"Microsoft .NET Host FX Resolver - 7.0.10 (x86)";"56.43.64668";"Microsoft Corporation";"06/03/2026";"0,3";"Registre";"composant"
"Microsoft .NET Host FX Resolver - 8.0.21 (x64)";"64.84.40925";"Microsoft Corporation";"23/03/2026";"0,3";"Registre";"composant"
"Microsoft .NET Host FX Resolver - 8.0.25 (x64)";"64.100.48707";"Microsoft Corporation";"11/03/2026";"0,3";"Registre";"composant"
"Microsoft .NET Runtime - 7.0.10 (x64)";"56.43.64668";"Microsoft Corporation";"06/03/2026";"69,2";"Registre";"composant"
"Microsoft .NET Runtime - 7.0.10 (x86)";"7.0.10.32713";"Microsoft Corporation";"-";"88,8";"Registre";"composant"
"Microsoft .NET Runtime - 8.0.21 (x64)";"64.84.40925";"Microsoft Corporation";"23/03/2026";"70,2";"Registre";"composant"
"Microsoft .NET Runtime - 8.0.25 (x64)";"64.100.48707";"Microsoft Corporation";"11/03/2026";"70,2";"Registre";"composant"
"Microsoft Access database engine 2016 (English)";"16.0.5044.1000";"Microsoft Corporation";"11/03/2026";"716,3";"Registre";"main"
